ind,sampling_year,sampling_month,sampling_loc,seq_library,library_type,SL_mm,TL_mm,mass_g,juvenile,raw_reads,assem_reads,assem_pct,pheno_ID,pheno_sex,pca_ID_RAD,pca_ID_GBS,entropy_ID,spp_agree,checkHets_quality,keep,comments,final_ID
FISHEC17_139258,2017,September,Kagunga,lates03,GBS,143,160,45,Y,1142110,1071065,93.80%,Lmar,,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar
FISHEC17_139259,2017,September,Kagunga,lates03,GBS,151,173,53,Y,852388,793208,93.10%,Lmar,,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A
FISHEC17_139260,2017,September,Kagunga,lates03,GBS,155,,59,Y,811142,619124,76.30%,Juv,,Lmar,Lmar,Lmar,TRUE,4,N,,#N/A
FISHEC17_139261,2017,September,Kagunga,lates03,GBS,145,161,41,Y,649035,611572,94.20%,Juv,,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A
FISHEC17_139263,2017,September,Kagunga,lates03,GBS,134,157,32,Y,1204021,1125102,93.40%,Juv,,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar
FISHEC17_139265,2017,September,Kagunga,lates03,GBS,151,160,56,Y,1070823,967410,90.30%,Juv,,Lmar,Lmar,Lmar,TRUE,4,N,,#N/A
FISHEC17_139266,2017,September,Kagunga,lates03,GBS,143,173,48,Y,914637,837915,91.60%,Juv,,Lmar,Lmar,Lmar,TRUE,3,N,,#N/A
FISHEC17_139267,2017,September,Kagunga,lates03,GBS,139,164,46,Y,1494860,1403840,93.90%,Lmar,,Lmar,Lmar,Lmar,TRUE,2,Y,,Lmar
FISHEC17_139268,2017,September,Kagunga,lates03,GBS,443,450,1134,N,1389299,1310558,94.30%,Lang,,Lang,#N/A,Lang,TRUE,2,Y,,Lang
FISHEC17_139339,2017,September,Kigoma,lates03,GBS,221,257,160.2,Y,1097942,1030251,93.80%,Lang,,#N/A,Lang,Lang,TRUE,2,Y,Kibirizi landing site,Lang
FISHEC17_139340,2017,September,Kigoma,lates03,GBS,193,225,109.6,Y,756556,707050,93.50%,Lmar,,#N/A,Lmar,Lmar,TRUE,3,N,Kibirizi landing site,#N/A
FISHEC17_139342,2017,September,Kigoma,lates03,GBS,270,312,281.2,Y,787226,737830,93.70%,Juv,,#N/A,Lmic,Lmic,TRUE,2,Y,Kibirizi landing site,Lmic
FISHEC17_139343,2017,September,Kigoma,lates03,GBS,350,405,559,N,1119617,1047473,93.60%,Lang,,#N/A,Lang,Lang,TRUE,2,Y,Kibirizi landing site,Lang
JAR18_139366,2018,May,Kigoma,lates03,GBS,,,,N,1413460,1327731,93.90%,Lang,,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139367,2018,May,Kigoma,lates03,GBS,,,,N,1240765,1016910,82.00%,Lang,,#N/A,#N/A,Lang,TRUE,4,N,,#N/A
JAR18_139368,2018,May,Kigoma,lates03,GBS,,,,N,1347162,1254336,93.10%,Lang,,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139371,2018,May,Kigoma,lates03,GBS,,,,N,722550,422093,58.40%,Lang,,#N/A,#N/A,Lang,TRUE,4,N,,#N/A
JAR18_139372,2018,May,Kigoma,lates03,GBS,,,,N,1142540,987541,86.40%,Lang,,#N/A,Lmar (but is close to Lang),Lunk,TRUE,3,N,,#N/A
JAR18_139373,2018,May,Kigoma,lates03,GBS,,,,N,1315434,598999,45.50%,Lang,,#N/A,Lang (plot is a bit outside of the cluster),Lang,TRUE,4,N,,#N/A
