ind,Field_ID,FishEC_num,sampling_year,sampling_month,sampling_loc,seq_library,SL_mm,TL_mm,mass_g,juvenile,data_type,raw_reads,assem_reads,assem_pct,pheno_ID,final_ID,assign_k2,assign_k3,assign_k4,assign_k5,assign_k6
FISHEC17_139260,KAG_94,139260,2017,September,Kagunga,lates03,155,NA,59,Y,GBS,811142,619124,76.30%,Juv,NA,NA,NA,NA,NA,NA
FISHEC17_139261,KAG_95,139261,2017,September,Kagunga,lates03,145,161,41,Y,GBS,649035,611572,94.20%,Juv,NA,NA,NA,NA,NA,NA
FISHEC17_139263,KAG_97,139263,2017,September,Kagunga,lates03,134,157,32,Y,GBS,1204021,1125102,93.40%,Juv,Lmar,X2,X1,X3,X2,X2
FISHEC17_139265,KAG_99,139265,2017,September,Kagunga,lates03,151,160,56,Y,GBS,1070823,967410,90.30%,Juv,NA,NA,NA,NA,NA,NA
FISHEC17_139266,KAG_100,139266,2017,September,Kagunga,lates03,143,173,48,Y,GBS,914637,837915,91.60%,Juv,NA,NA,NA,NA,NA,NA
FISHEC17_139267,KAG_101,139267,2017,September,Kagunga,lates03,139,164,46,Y,GBS,1494860,1403840,93.90%,Lmar,Lmar,X2,X1,X3,X2,X2
FISHEC17_139268,KAG_102,139268,2017,September,Kagunga,lates03,443,450,1134,N,GBS,1389299,1310558,94.30%,Lang,Lang,X1,X1,X2,X4,X2
FISHEC17_139339,KIB_16,139339,2017,September,Kigoma,lates03,221,257,160.2,Y,GBS,1097942,1030251,93.80%,Lang,Lang,X2,X2,X4,X1,X1
FISHEC17_139340,KIB_17,139340,2017,September,Kigoma,lates03,193,225,109.6,Y,GBS,756556,707050,93.50%,Lmar,NA,NA,NA,NA,NA,NA
FISHEC17_139342,KIB_19,139342,2017,September,Kigoma,lates03,270,312,281.2,Y,GBS,787226,737830,93.70%,Juv,Lmic,X2,X3,X4,X2,X5
FISHEC17_139343,KIB_20,139343,2017,September,Kigoma,lates03,350,405,559,N,GBS,1119617,1047473,93.60%,Lang,Lang,X1,X1,X2,X1,X1
JAR18_139366,KAG_111,139366,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,1413460,1327731,93.90%,Lang,Lmar,X2,X1,X4,X1,X1
JAR18_139367,KAG_112,139367,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,1240765,1016910,82.00%,Lang,NA,NA,NA,NA,NA,NA
JAR18_139368,KAG_113,139368,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,1347162,1254336,93.10%,Lang,Lang,X1,X1,X2,X1,X3
JAR18_139371,#N/A,139371,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,722550,422093,58.40%,Lang,NA,NA,NA,NA,NA,NA
JAR18_139372,#N/A,139372,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,1142540,987541,86.40%,Lang,NA,NA,NA,NA,NA,NA
JAR18_139373,#N/A,139373,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,1315434,598999,45.50%,Lang,NA,NA,NA,NA,NA,NA
JAR18_139374,#N/A,139374,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,613029,379054,61.80%,Lmar,NA,NA,NA,NA,NA,NA
JAR18_139384,#N/A,139384,2018,May,Kigoma,lates03,NA,NA,NA,N,GBS,1360241,1257021,92.40%,Lmic,Lmic,X2,X3,X4,X2,X5
JAR18_139387,#N/A,139387,2018,May,Kagunga,lates03,205,240,88,N,GBS,778913,611801,78.50%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139388,#N/A,139388,2018,May,Kagunga,lates03,226,264,117,N,GBS,1339618,1236048,92.30%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139390,#N/A,139390,2018,May,Kagunga,lates03,162,221,77,N,GBS,899623,590671,65.70%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139392,#N/A,139392,2018,May,Kagunga,lates03,216,251,109,N,GBS,1511870,839100,55.50%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139394,#N/A,139394,2018,May,Kagunga,lates03,189,233,86,N,GBS,1296185,1073928,82.90%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139395,#N/A,139395,2018,May,Kagunga,lates03,295,336,262,N,GBS,707505,656878,92.80%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139396,#N/A,139396,2018,May,Kagunga,lates03,248,285,173,N,GBS,1626690,1525319,93.80%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139397,#N/A,139397,2018,May,Kagunga,lates03,254,302,182,N,GBS,780295,709782,91.00%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139398,#N/A,139398,2018,May,Kagunga,lates03,209,250,104,N,GBS,785334,323690,41.20%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139399,#N/A,139399,2018,May,Kagunga,lates03,271,310,192,N,GBS,827268,769501,93.00%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139400,#N/A,139400,2018,May,Kagunga,lates03,278,311,209,N,GBS,1765277,1642482,93.00%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139402,#N/A,139402,2018,May,Kagunga,lates03,181,216,75,N,GBS,1003581,874691,87.20%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139403,#N/A,139403,2018,May,Kagunga,lates03,210,243,97,N,GBS,777788,619484,79.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139404,#N/A,139404,2018,May,Kagunga,lates03,228,265,130,N,GBS,1002173,638749,63.70%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139405,#N/A,139405,2018,May,Kagunga,lates03,213,246,103,N,GBS,365983,215784,59.00%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139406,#N/A,139406,2018,May,Kagunga,lates03,252,288,144,N,GBS,811642,744982,91.80%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139407,#N/A,139407,2018,May,Kagunga,lates03,223,255,125,N,GBS,709611,658660,92.80%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139408,#N/A,139408,2018,May,Kagunga,lates03,164,221,81,N,GBS,1271301,1105637,87.00%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139409,#N/A,139409,2018,May,Kagunga,lates03,273,314,180,N,GBS,1186254,1095668,92.40%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139410,#N/A,139410,2018,May,Kagunga,lates03,203,233,75,N,GBS,977803,862608,88.20%,Lsta,Lsta,X2,NA,NA,NA,NA
JAR18_139411,#N/A,139411,2018,May,Kagunga,lates03,104,228,72,N,GBS,507042,400413,79.00%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139412,#N/A,139412,2018,May,Kagunga,lates03,206,233,88,N,GBS,974133,856543,87.90%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139413,#N/A,139413,2018,May,Kagunga,lates03,182,209,62,N,GBS,838785,721701,86.00%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139527,#N/A,139527,2018,May,Kigoma,lates03,316,369,424,N,GBS,1232781,1161136,94.20%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139528,#N/A,139528,2018,May,Kigoma,lates03,111,132,15,Y,GBS,900307,780797,86.70%,Juv,Lmic,X2,X3,X4,X2,X5
JAR18_139852,#N/A,139852,2018,May,Kirando,lates03,220,256,103,N,GBS,924473,863850,93.40%,Lsta,Lsta,X1,NA,NA,NA,NA
JAR18_139853,#N/A,139853,2018,May,Kirando,lates03,195,226,73,N,GBS,1097009,956287,87.20%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139858,#N/A,139858,2018,May,Kirando,lates03,191,225,88,N,GBS,1400400,1305162,93.20%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139859,#N/A,139859,2018,May,Kirando,lates03,204,239,81,N,GBS,633147,576307,91.00%,Lsta,NA,NA,NA,NA,NA,NA
